3950000,49150.984,-221.065,238.564
3975000,49604.408,-226.321,279.586
4000000,50062.299,-235.618,279.417
4025000,50523.139,-237.341,270.346
4050000,50986.712,-261.304,348.659
4075000,51457.693,-218.207,256.754
4100000,51932.926,-228.243,292.757
4125000,52416.864,-211.564,265.669
4150000,52906.826,-210.909,268.031
4175000,53403.948,-234.391,298.072
4200000,53917.815,-231.668,267.993
4225000,54433.860,-236.636,267.616
4250000,54966.967,-224.015,163.763
4275000,55512.845,-228.577,225.380
4300000,56075.414,-217.633,217.127
4325000,56647.337,-225.232,235.693
4350000,57233.693,-216.265,235.760
4375000,57831.486,-241.824,288.786
4400000,58437.871,-245.084,272.131
4425000,59047.215,-272.025,269.436
4450000,59667.313,-227.262,249.982
4475000,60301.741,-249.843,276.123
4500000,60946.156,-216.614,242.060
4525000,61596.637,-225.655,271.073
4550000,62256.018,-230.003,271.301
4575000,62925.932,-255.431,333.487
4600000,63601.133,-226.850,257.705
4625000,64295.924,-211.956,239.354
4650000,65011.606,-186.530,167.270
4675000,65743.414,-168.785,111.719
4700000,66503.600,-162.965,92.027
4725000,67281.217,-174.338,149.087
4750000,68088.107,-213.087,225.305
4775000,68941.299,-226.585,263.469
4800000,69847.099,-209.731,222.632
4825000,70818.252,-244.546,302.137
4850000,71855.587,-247.666,261.941
4875000,72979.864,-236.719,246.677
4900000,74158.100,-246.491,278.729
4925000,75374.742,-235.515,255.383
4950000,76630.215,-220.454,207.914
4975000,77917.005,-213.476,204.825
5000000,79221.823,-229.798,215.404
